Ano,SBBD_artigos,VLDB_artigos,SBBD_paginas,VLDB_paginas,SBBD_autores,VLDB_autores,SBBD_citacoes_media,VLDB_citacoes_media,SBBD_refs_media,VLDB_refs_media,SBBD_pct_intl,VLDB_pct_intl,SBBD_pct_oa,VLDB_pct_oa
2016,37,197,7.8,9.9,2.2,3.9,2.05,42.6,12.03,25.2,22.0,31.0,100.0,17.0
2017,35,222,9.7,10.4,2.3,4.3,2.57,55.3,10.69,30.1,20.0,37.0,100.0,18.0
2018,35,230,9.5,11.2,2.6,4.9,1.74,36.0,14.74,32.9,26.0,37.0,100.0,17.0
2019,36,238,8.8,11.1,2.1,4.5,2.11,35.6,11.03,35.6,22.0,37.0,100.0,23.0
2020,35,316,8.0,11.9,1.1,5.1,3.54,35.6,10.17,39.8,3.0,37.0,100.0,23.0
2021,41,345,9.2,10.7,2.2,5.1,2.05,20.0,15.12,37.7,34.0,40.0,100.0,23.0
2022,44,357,10.2,11.5,2.5,5.0,1.68,20.9,17.02,31.7,16.0,41.0,100.0,17.0
2023,50,372,9.4,19.6,2.5,5.4,1.1,12.6,13.28,29.9,18.0,42.0,100.0,15.0
2024,85,447,10.7,13.9,2.4,5.6,1.09,5.8,14.49,31.9,29.0,44.0,100.0,11.0
2025,91,443,11.1,11.8,2.4,5.7,0.2,0.5,17.74,30.8,20.0,38.0,100.0,10.0
